"IndicatorName","IndicatorCode"
"Short-term debt (% of total reserves)",DT.DOD.DSTC.IR.ZS
"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE
"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA
"Social contributions (% of revenue)",GC.REV.SOCL.ZS
"Social contributions (current LCU)",GC.REV.SOCL.CN
"Start-up procedures to register a business (number)",IC.REG.PROC
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD
"Stocks traded, turnover ratio (%)",CM.MKT.TRNR
"Strength of legal rights index (0=weak to 10=strong)",IC.LGL.CRED.XQ
"Subsidies and other transfers (% of expense)",GC.XPN.TRFT.ZS
"Subsidies and other transfers (current LCU)",GC.XPN.TRFT.CN
"Surface area (sq. km)",AG.SRF.TOTL.K2
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS
"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS
"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS
"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS
"Tax payments (number)",IC.TAX.PAYM
"Tax revenue (% of GDP)",GC.TAX.TOTL.GD.ZS
"Tax revenue (current LCU)",GC.TAX.TOTL.CN
"Taxes on exports (% of tax revenue)",GC.TAX.EXPT.ZS
"Taxes on exports (current LCU)",GC.TAX.EXPT.CN
"Taxes on goods and services (% of revenue)",GC.TAX.GSRV.RV.ZS
"Taxes on goods and services (% value added of industry and services)",GC.TAX.GSRV.VA.ZS
"Taxes on goods and services (current LCU)",GC.TAX.GSRV.CN
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS
"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN
"Taxes on international trade (% of revenue)",GC.TAX.INTT.RV.ZS
"Taxes on international trade (current LCU)",GC.TAX.INTT.CN
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD
"Technicians in R&D (per million people)",SP.POP.TECH.RD.P6
"Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)",SP.MTR.1519.ZS
"Telephone lines",IT.MLT.MAIN
"Telephone lines (per 100 people)",IT.MLT.MAIN.P2
"Terms of trade adjustment (constant LCU)",NY.TTF.GNFS.KN
"Terrestrial and marine protected areas (% of total territorial area)",ER.PTD.TOTL.ZS
"Terrestrial protected areas (% of total land area)",ER.LND.PTLD.ZS
"Tertiary education, teachers (% female)",SE.TER.TCHR.FE.ZS
"Textiles and clothing (% of value added in manufacturing)",NV.MNF.TXTL.ZS.UN
"Time required to build a warehouse (days)",IC.WRH.DURS
"Time required to enforce a contract (days)",IC.LGL.DURS
"Time required to get electricity (days)",IC.ELC.TIME
"Time required to obtain an operating license (days)",IC.FRM.DURS
"Time required to register property (days)",IC.PRP.DURS
"Time required to start a business (days)",IC.REG.DURS
"Time to export (days)",IC.EXP.DURS
"Time to import (days)",IC.IMP.DURS
"Time to prepare and pay taxes (hours)",IC.TAX.DURS
"Time to resolve insolvency (years)",IC.ISV.DURS
"Total amount of debt rescheduled (current US$)",DT.TXR.DPPG.CD
"Total change in external debt stocks (current US$)",DT.DOD.DECT.CD.CG
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS
"Total debt service (% of GNI)",DT.TDS.DECT.GN.ZS
"Total natural resources rents (% of GDP)",NY.GDP.TOTL.RT.ZS
"Total reserves (% of total external debt)",FI.RES.TOTL.DT.ZS
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD
"Total reserves in months of imports",FI.RES.TOTL.MO
"Total reserves minus gold (current US$)",FI.RES.XGLD.CD
"Total tax rate (% of commercial profits)",IC.TAX.TOTL.CP.ZS
"Trade (% of GDP)",NE.TRD.GNFS.ZS
"Trade in services (% of GDP)",BG.GSR.NFSV.GD.ZS
"Trademark applications, aggregate direct",IP.TMK.AGGD
"Trademark applications, direct nonresident",IP.TMK.NRES
"Trademark applications, direct resident",IP.TMK.RESD
"Trademark applications, Madrid",IP.TMK.MDRD
"Trademark applications, total",IP.TMK.TOTL
"Trained teachers in primary education (% of total teachers)",SE.PRM.TCAQ.ZS
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS
"Transport services (% of commercial service exports)",TX.VAL.TRAN.ZS.WT
"Transport services (% of commercial service imports)",TM.VAL.TRAN.ZS.WT
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS
"Travel services (% of commercial service exports)",TX.VAL.TRVL.ZS.WT
"Travel services (% of commercial service imports)",TM.VAL.TRVL.ZS.WT
"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS
"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS
"Tuberculosis treatment success rate (% of registered cases)",SH.TBS.CURE.ZS
"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD
"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD
"Undisbursed external debt, total (UND, current US$)",DT.UND.DPPG.CD
"Unemployment with primary education (% of total unemployment)",SL.UEM.PRIM.ZS
"Unemployment with primary education, female (% of female unemployment)",SL.UEM.PRIM.FE.ZS
"Unemployment with primary education, male (% of male unemployment)",SL.UEM.PRIM.MA.ZS
"Unemployment with secondary education (% of total unemployment)",SL.UEM.SECO.ZS
"Unemployment with secondary education, female (% of female unemployment)",SL.UEM.SECO.FE.ZS
"Unemployment with secondary education, male (% of male unemployment)",SL.UEM.SECO.MA.ZS
"Unemployment with tertiary education (% of total unemployment)",SL.UEM.TERT.ZS
"Unemployment with tertiary education, female (% of female unemployment)",SL.UEM.TERT.FE.ZS
"Unemployment with tertiary education, male (% of male unemployment)",SL.UEM.TERT.MA.ZS
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS
"Unemployment, youth female (% of female labor force ages 15-24)",SL.UEM.1524.FE.ZS
"Unemployment, youth male (% of male labor force ages 15-24)",SL.UEM.1524.MA.ZS
"Unemployment, youth total (% of total labor force ages 15-24)",SL.UEM.1524.ZS
"Unmet need for contraception (% of married women ages 15-49)",SP.UWT.TFRT
"Urban population",SP.URB.TOTL
"Urban population (% of total)",SP.URB.TOTL.IN.ZS
"Urban population growth (annual %)",SP.URB.GROW
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD
"Use of insecticide-treated bed nets (% of under-5 population)",SH.MLR.NETS.ZS
"Value lost due to electrical outages (% of sales)",IC.FRM.OUTG.ZS
"Vehicles (per km of road)",IS.VEH.ROAD.K1
"Vitamin A supplementation coverage rate (% of children ages 6-59 months)",SN.ITK.VITA.ZS
"Vulnerable employment, female (% of female employment)",SL.EMP.VULN.FE.ZS
"Vulnerable employment, male (% of male employment)",SL.EMP.VULN.MA.ZS
"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS
"Wage and salaried workers, female (% of females employed)",SL.EMP.WORK.FE.ZS
"Wage and salaried workers, total (% of total employed)",SL.EMP.WORK.ZS
"Wage and salary workers, male (% of males employed)",SL.EMP.WORK.MA.ZS
"Wanted fertility rate (births per woman)",SP.DYN.WFRT
"Water pollution, chemical industry (% of total BOD emissions)",EE.BOD.CHEM.ZS
"Water pollution, clay and glass industry (% of total BOD emissions)",EE.BOD.CGLS.ZS
"Water pollution, food industry (% of total BOD emissions)",EE.BOD.FOOD.ZS
"Water pollution, metal industry (% of total BOD emissions)",EE.BOD.MTAL.ZS
"Water pollution, other industry (% of total BOD emissions)",EE.BOD.OTHR.ZS
"Water pollution, paper and pulp industry (% of total BOD emissions)",EE.BOD.PAPR.ZS
"Water pollution, textile industry (% of total BOD emissions)",EE.BOD.TXTL.ZS
"Water pollution, wood industry (% of total BOD emissions)",EE.BOD.WOOD.ZS
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD
"Wholesale price index (2005 = 100)",FP.WPI.TOTL
"Women's share of population ages 15+ living with HIV (%)",SH.DYN.AIDS.FE.ZS
